                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3535,                 1.1675,                 1.5862,                0.67966,                0.69298,                0.72793,                0.46146,                  1.238,                 1.0029,                 1.5642,               0.000812,               0.000812,               0.000812
                     62,                 1.3152,                 1.1509,                 1.5835,                0.70718,                0.68719,                0.73819,                0.47171,                 1.2443,                0.99085,                 1.5638,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3158,                 1.1334,                 1.5633,                0.70191,                0.69386,                0.74166,                0.47317,                 1.2492,                0.98446,                 1.5502,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3186,                 1.1522,                 1.5672,                0.69655,                0.68684,                0.73459,                0.47068,                 1.2469,                0.95685,                 1.5464,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2991,                 1.1073,                 1.5401,                0.70375,                0.70423,                0.74725,                0.48281,                  1.221,                0.95558,                 1.5412,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3287,                  1.143,                  1.566,                0.69874,                0.68844,                0.73801,                0.48206,                 1.2066,                0.95085,                 1.5336,               0.000713,               0.000713,               0.000713
                     67,                 1.3043,                 1.1035,                 1.5436,                0.72261,                0.71563,                0.76517,                0.49413,                 1.2158,                0.94508,                 1.5306,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3108,                 1.0977,                 1.5479,                0.71711,                0.71033,                0.76178,                 0.4956,                 1.2008,                0.92648,                 1.5297,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2871,                 1.0803,                 1.5263,                0.74314,                0.71091,                0.77608,                0.50371,                 1.2015,                0.90573,                 1.5252,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3161,                  1.081,                 1.5525,                0.74055,                0.71393,                0.77816,                0.50522,                 1.1944,                 0.8997,                 1.5196,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2685,                 1.0848,                 1.5282,                0.68476,                0.71173,                0.72895,                0.47786,                  1.196,                0.93166,                 1.5139,               0.000614,               0.000614,               0.000614
                     72,                 1.3011,                 1.0678,                 1.5475,                0.73548,                0.71681,                0.77579,                0.50189,                 1.2156,                 0.9142,                 1.5313,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2815,                 1.0596,                 1.5104,                0.76188,                0.72231,                0.79245,                0.51376,                 1.1942,                0.87586,                   1.52,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2562,                 1.0432,                 1.5026,                0.76521,                0.72946,                0.79842,                0.52898,                 1.1662,                0.85682,                 1.4999,              0.0005546,              0.0005546,              0.0005546
                     75,                   1.27,                 1.0464,                 1.5066,                0.77067,                0.71765,                0.79803,                0.52971,                 1.1556,                0.85751,                 1.4826,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2301,                 1.0327,                 1.4932,                0.74464,                0.73376,                0.78218,                 0.5191,                 1.1676,                0.87352,                 1.4897,               0.000515,               0.000515,               0.000515
                     77,                 1.2551,                 1.0091,                 1.4972,                0.78461,                0.72923,                0.80714,                0.53509,                 1.1531,                 0.8314,                 1.4752,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2442,                 1.0147,                 1.5045,                0.77441,                0.74207,                0.81073,                0.54191,                 1.1486,                 0.8218,                 1.4791,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2426,                 1.0107,                 1.4909,                0.77332,                0.74434,                0.81125,                0.53599,                 1.1603,                0.86386,                 1.4756,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2653,                 0.9929,                 1.5013,                0.78057,                 0.7539,                0.82001,                0.54391,                  1.145,                 0.8169,                 1.4732,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2386,                 0.9859,                 1.4854,                0.73722,                0.74691,                0.78248,                0.51778,                 1.1367,                0.90424,                 1.4743,               0.000416,               0.000416,               0.000416
                     82,                  1.232,                0.98108,                 1.4932,                0.76189,                0.72741,                0.80602,                0.53473,                 1.1515,                0.83475,                 1.4762,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.239,                 1.0126,                 1.4925,                 0.7637,                0.76811,                0.82084,                0.55339,                 1.1263,                0.80849,                 1.4518,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.216,                0.93883,                 1.4681,                0.80112,                0.77467,                0.84119,                0.56252,                 1.1207,                0.77502,                 1.4449,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2221,                0.97168,                 1.4651,                0.79318,                0.77726,                0.84194,                0.56672,                 1.1153,                 0.7769,                 1.4438,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2028,                0.95081,                 1.4607,                0.80882,                0.77379,                0.84486,                0.57158,                 1.1035,                0.75322,                 1.4351,               0.000317,               0.000317,               0.000317
                     87,                 1.1966,                0.95454,                 1.4739,                0.78531,                0.76045,                0.82913,                0.55506,                 1.1041,                0.79155,                 1.4376,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2005,                0.95818,                 1.4627,                0.80209,                0.76888,                0.84044,                0.56658,                  1.102,                0.76771,                 1.4357,              0.0002774,              0.0002774,              0.0002774
